# http://www.vendian.org/mncharity/dir3/blackbody/UnstableURLs/bbr_color.html
#Teff  R   G   B
 1000 255  51   0
 1100 255  69   0
 1200 255  82   0
 1300 255  93   0
 1400 255 102   0
 1500 255 111   0
 1600 255 118   0
 1700 255 124   0
 1800 255 130   0
 1900 255 135   0
 2000 255 141  11
 2100 255 146  29
 2200 255 152  41
 2300 255 157  51
 2400 255 162  60
 2500 255 166  69
 2600 255 170  77
 2700 255 174  84
 2800 255 178  91
 2900 255 182  98
 3000 255 185 105
 3100 255 189 111
 3200 255 192 118
 3300 255 195 124
 3400 255 198 130
 3500 255 201 135
 3600 255 203 141
 3700 255 206 146
 3800 255 208 151
 3900 255 211 156
 4000 255 213 161
 4100 255 215 166
 4200 255 217 171
 4300 255 219 175
 4400 255 221 180
 4500 255 223 184
 4600 255 225 188
 4700 255 226 192
 4800 255 228 196
 4900 255 229 200
 5000 255 231 204
 5100 255 232 208
 5200 255 234 211
 5300 255 235 215
 5400 255 237 218
 5500 255 238 222
 5600 255 239 225
 5700 255 240 228
 5800 255 241 231
 5900 255 243 234
 6000 255 244 237
 6100 255 245 240
 6200 255 246 243
 6300 255 247 245
 6400 255 248 248
 6500 255 249 251
 6600 255 249 253
 6700 254 250 255
 6800 252 248 255
 6900 250 247 255
 7000 247 245 255
 7100 245 244 255
 7200 243 243 255
 7300 241 241 255
 7400 239 240 255
 7500 238 239 255
 7600 236 238 255
 7700 234 237 255
 7800 233 236 255
 7900 231 234 255
 8000 229 233 255
 8100 228 233 255
 8200 227 232 255
 8300 225 231 255
 8400 224 230 255
 8500 223 229 255
 8600 221 228 255
 8700 220 227 255
 8800 219 226 255
 8900 218 226 255
 9000 217 225 255
 9100 216 224 255
 9200 215 223 255
 9300 214 223 255
 9400 213 222 255
 9500 212 221 255
 9600 211 221 255
 9700 210 220 255
 9800 209 220 255
 9900 208 219 255
10000 207 218 255
10100 207 218 255
10200 206 217 255
10300 205 217 255
10400 204 216 255
10500 204 216 255
10600 203 215 255
10700 202 215 255
10800 202 214 255
10900 201 214 255
11000 200 213 255
11100 200 213 255
11200 199 212 255
11300 198 212 255
11400 198 212 255
11500 197 211 255
11600 197 211 255
11700 196 210 255
11800 196 210 255
11900 195 210 255
12000 195 209 255
12100 194 209 255
12200 194 208 255
12300 193 208 255
12400 193 208 255
12500 192 207 255
12600 192 207 255
12700 191 207 255
12800 191 206 255
12900 190 206 255
13000 190 206 255
13100 190 206 255
13200 189 205 255
13300 189 205 255
13400 188 205 255
13500 188 204 255
13600 188 204 255
13700 187 204 255
13800 187 204 255
13900 187 203 255
14000 186 203 255
14100 186 203 255
14200 186 203 255
14300 185 202 255
14400 185 202 255
14500 185 202 255
14600 184 202 255
14700 184 201 255
14800 184 201 255
14900 184 201 255
15000 183 201 255
15100 183 201 255
15200 183 200 255
15300 182 200 255
15400 182 200 255
15500 182 200 255
15600 182 200 255
15700 181 199 255
15800 181 199 255
15900 181 199 255
16000 181 199 255
16100 180 199 255
16200 180 198 255
16300 180 198 255
16400 180 198 255
16500 179 198 255
16600 179 198 255
16700 179 198 255
16800 179 197 255
16900 179 197 255
17000 178 197 255
17100 178 197 255
17200 178 197 255
17300 178 197 255
17400 178 196 255
17500 177 196 255
17600 177 196 255
17700 177 196 255
17800 177 196 255
17900 177 196 255
18000 176 196 255
18100 176 195 255
18200 176 195 255
18300 176 195 255
18400 176 195 255
18500 176 195 255
18600 175 195 255
18700 175 195 255
18800 175 194 255
18900 175 194 255
19000 175 194 255
19100 175 194 255
19200 174 194 255
19300 174 194 255
19400 174 194 255
19500 174 194 255
19600 174 194 255
