#parname, median value, upper errorbar, lower errorbar
M_*,1.08,0.71,0.17
R_*,1.6,4.0,1.0
L_*,1.7,19,1.5
\rho_*,0.35,5.9,0.33
\log{g},4.04,0.81,0.86
T_{\rm eff},5183,79,77
[{\rm Fe/H}],0.270,0.080,0.079
\log{M_*/M_{\sun}},0.034,0.22,0.074
P,2.899704,0.000053,0.000054
R_P,1.223,0.094,0.093
M_P,0.86,0.46,0.22
T_C,2454218.771,0.015,0.016
T_0,2454218.771,0.015,0.016
a,0.0409,0.0075,0.0023
i,60,20,26
T_{eq},1580,1100,600
\tau_{\rm circ},0.132,0.17,0.062
K,88.9,2.5,2.5
\log{K},1.949,0.012,0.012
R_P/R_*,0.077,0.14,0.056
a/R_*,5.4,8.7,3.5
\delta,0.0060,0.039,0.0055
Depth,0.00000,0.00060,0.00
\tau,0.000,0.017,0.00
T_{14},0.00,0.33,0.00
T_{FWHM},0.00,0.31,0.00
b,2.1,5.1,1.6
\cos{i},0.49,0.34,0.33
\delta_{S,3.6\mu m},570,310,410
\delta_{S,4.5\mu m},770,730,590
\rho_P,0.59,0.42,0.20
\log{P},0.4623536,0.0000080,0.0000080
logg_P,3.16,0.22,0.15
\Theta,0.0472,0.026,0.0070
\fave,1.4,11,1.2
T_P,2454218.771,0.015,0.016
T_S,2454220.220,0.015,0.016
T_A,2454220.945,0.015,0.016
T_D,2454219.495,0.015,0.016
M_P\sin i,0.660,0.27,0.074
M_P/M_*,0.00066,0.00034,0.00011
d/R_*,5.4,8.7,3.5
P_T,0.17,0.36,0.12
P_{T,G},0.20,0.36,0.11
\gamma_{\rm rel},-15.1,1.9,2.0
