#parname, median value, upper errorbar, lower errorbar
M_*,0.910,0.051,0.049
R_*,0.750,0.080,0.061
L_*,0.366,0.089,0.062
\rho_*,3.03,0.87,0.77
\log{g},4.646,0.071,0.084
T_{\rm eff},5183,79,81
[{\rm Fe/H}],0.271,0.080,0.079
\log{M_*/M_{\sun}},-0.041,0.024,0.024
P,2.899704,0.000054,0.000052
R_P,0.796,0.11,0.082
M_P,0.586,0.027,0.026
T_C,2454218.75995,0.00034,0.00033
T_0,2454218.75995,0.00034,0.00033
a,0.03857,0.00071,0.00070
i,87.7,1.3,1.1
T_{eq},1102,58,47
\tau_{\rm circ},0.63,0.45,0.29
K,88.9,2.5,2.5
\log{K},1.949,0.012,0.012
R_P/R_*,0.1090,0.0032,0.0027
a/R_*,11.05,0.97,1.0
\delta,0.01189,0.00070,0.00058
Depth,0.01189,0.00070,0.00058
\tau,0.0102,0.0026,0.0018
T_{14},0.0853,0.0023,0.0018
T_{FWHM},0.07495,0.00096,0.0010
b,0.44,0.14,0.24
\cos{i},0.040,0.018,0.023
\delta_{S,3.6\mu m},366,98,70
\delta_{S,4.5\mu m},588,130,97
\rho_P,1.44,0.56,0.45
\log{P},0.4623536,0.0000081,0.0000078
logg_P,3.360,0.094,0.11
\Theta,0.0623,0.0073,0.0074
\fave,0.335,0.076,0.054
T_P,2454218.75995,0.00034,0.00033
T_S,2454220.20980,0.00034,0.00033
T_A,2454220.93473,0.00034,0.00033
T_D,2454219.48487,0.00033,0.00033
M_P\sin i,0.586,0.028,0.026
M_P/M_*,0.000615,0.000021,0.000021
d/R_*,11.05,0.97,1.0
P_T,0.0806,0.0079,0.0063
P_{T,G},0.1004,0.011,0.0083
u_{1},0.438,0.048,0.050
u_{2},0.223,0.051,0.049
\gamma_{\rm rel},-14.9,1.8,1.9
F_0,1.00631,0.00020,0.00020
