#parname, median value, upper errorbar, lower errorbar
M_*,1.335,0.065,0.062
R_*,1.454,0.051,0.038
L_*,3.44,0.28,0.22
\rho_*,0.615,0.031,0.052
\log{g},4.239,0.016,0.025
T_{\rm eff},6515,50,50
[{\rm Fe/H}],0.056,0.081,0.080
\log{M_*/M_{\sun}},0.125,0.021,0.021
P,1.217523,0.000013,0.000013
R_P,1.104,0.043,0.031
M_P,27.21,0.97,0.94
T_C,2455914.16279,0.00026,0.00026
T_0,2455925.12050,0.00023,0.00023
a,0.02473,0.00039,0.00039
i,87.7,1.6,2.3
e,0.0103,0.012,0.0072
\omega_*,-43,95,80
T_{eq},2409,39,30
\tau_{\rm circ},0.178,0.020,0.028
K,4211,58,59
\log{K},3.6244,0.0060,0.0061
R_P/R_*,0.07805,0.00071,0.00069
a/R_*,3.662,0.061,0.11
\delta,0.00609,0.00011,0.00011
Depth,0.00609,0.00011,0.00011
\tau,0.00868,0.00061,0.00021
T_{14},0.11479,0.00079,0.00067
T_{FWHM},0.10599,0.00056,0.00055
b,0.15,0.14,0.10
\cos{i},0.041,0.040,0.028
b_S,0.15,0.14,0.10
\tau_S,0.00867,0.00061,0.00030
T_{S,14},0.1145,0.0022,0.0028
T_{S,FWHM},0.1057,0.0018,0.0026
\delta_{S,3.6\mu m},1197,49,34
\delta_{S,4.5\mu m},1388,52,36
\rho_P,25.2,1.7,2.5
\log{P},0.0854773,0.0000048,0.0000048
logg_P,4.744,0.019,0.029
\Theta,0.911,0.030,0.036
\fave,7.65,0.51,0.37
T_P,2455913.72,0.32,0.27
T_S,2455914.7739,0.0072,0.0043
T_A,2455913.8587,0.0051,0.0045
T_D,2455914.4689,0.0069,0.0037
e\cos{\omega_*},0.0030,0.0093,0.0056
e\sin{\omega_*},-0.0012,0.0081,0.013
\sqrt{e}\cos{\omega_*},0.036,0.061,0.070
\sqrt{e}\sin{\omega_*},-0.021,0.092,0.090
M_P\sin i,27.17,0.96,0.93
M_P/M_*,0.01946,0.00042,0.00042
d/R_*,3.663,0.098,0.12
P_T,0.2517,0.0087,0.0066
P_{T,G},0.2943,0.010,0.0077
P_S,0.2520,0.0073,0.0028
P_{S,G},0.2946,0.0087,0.0033
u_{1},0.189,0.042,0.042
u_{2},0.295,0.047,0.047
u_{1},0.240,0.041,0.041
u_{2},0.292,0.047,0.046
u_{1},0.186,0.043,0.043
u_{2},0.328,0.047,0.047
\gamma_{\rm rel},4114,50,53
\sigma_J,128,78,96
\sigma_J^2,17000,26000,15000
\sigma^{2},-0.00001194,0.00000019,0.00000018
F_0,1.00366,0.00010,0.00010
\sigma^{2},0.000000311,0.00000011,0.000000091
F_0,1.003064,0.000089,0.000089
\sigma^{2},-0.00000864,0.00000023,0.00000021
F_0,1.00427,0.00011,0.00011
