#parname, median value, upper errorbar, lower errorbar
mstar_0,1.091,0.13,0.091
rstar_0,1.18,0.37,0.18
lstar_0,1.88,1.4,0.55
rhostar_0,0.92,0.51,0.47
logg_0,4.33,0.12,0.20
teff_0,6206,80,80
feh_0,-0.129,0.080,0.079
initfeh_0,-0.064,0.090,0.098
age_0,3.2,2.5,2.0
eep_0,368,47,46
logmstar_0,0.038,0.050,0.038
Period_0,2.98904,0.00060,0.00056
rp_0,1.212,0.093,0.091
mp_0,0.98,0.55,0.16
tc_0,2456190.259,0.057,0.086
t0_0,2456103.575,0.056,0.083
a_0,0.0418,0.0016,0.0012
ideg_0,60,21,27
e_0,0.064,0.079,0.046
omegadeg_0,-35,84,69
teq_0,1590,200,120
tcirc_0,0.176,0.16,0.068
k_0,110.4,7.4,7.0
logk_0,2.043,0.028,0.029
p_0,0.104,0.021,0.025
ar_0,7.6,1.2,1.6
delta_0,0.0109,0.0049,0.0046
depth_0,0.00,0.00,0.00
tau_0,0.00,0.00,0.00
t14_0,0.00,0.00,0.00
tfwhm_0,0.00,0.00,0.00
b_0,3.6,2.8,2.5
cosi_0,0.49,0.34,0.34
bs_0,3.4,2.6,2.3
taus_0,0.000,0.011,0.00
t14s_0,0.000,0.044,0.00
tfwhms_0,0.000,0.022,0.00
eclipsedepth36_0,850,190,200
eclipsedepth45_0,1130,290,300
rhop_0,0.71,0.49,0.20
logp_0,0.475532,0.000086,0.000081
loggp_0,3.23,0.21,0.11
safronov_0,0.061,0.036,0.010
fave_0,1.45,0.90,0.38
tp_0,2456189.21,0.66,0.62
ts_0,2456191.811,0.064,0.050
ta_0,2456189.520,0.059,0.075
td_0,2456191.056,0.070,0.052
ecosw_0,0.026,0.076,0.039
esinw_0,-0.016,0.040,0.074
secosw_0,0.12,0.17,0.20
sesinw_0,-0.09,0.20,0.18
msini_0,0.829,0.087,0.073
q_0,0.00084,0.00047,0.00012
dr_0,7.7,1.3,1.6
pt_0,0.116,0.036,0.019
ptg_0,0.143,0.035,0.019
ps_0,0.123,0.040,0.021
psg_0,0.152,0.039,0.022
gamma_0,314,18,18
jitter_0,37.2,5.4,8.8
jittervar_0,1380,430,580
gamma_1,-93,12,11
jitter_1,0.00,27,0.00
jittervar_1,-50,780,180
gamma_2,14.8,6.2,6.1
jitter_2,25.0,6.2,4.6
jittervar_2,620,350,210
gamma_3,-10,12,13
jitter_3,40.8,2.8,4.8
jittervar_3,1670,240,370
