#parname, median value, upper errorbar, lower errorbar
mstar_0,1.090,0.13,0.090
rstar_0,1.18,0.35,0.17
lstar_0,1.86,1.3,0.54
rhostar_0,0.93,0.51,0.46
logg_0,4.33,0.12,0.19
teff_0,6205,81,81
feh_0,-0.128,0.078,0.080
initfeh_0,-0.063,0.088,0.096
age_0,3.3,2.4,2.1
eep_0,369,46,46
logmstar_0,0.037,0.049,0.037
Period_0,2.98901,0.00067,0.00064
rp_0,1.215,0.090,0.091
mp_0,0.95,0.54,0.16
tc_0,2456190.230,0.072,0.12
t0_0,2456121.482,0.071,0.12
a_0,0.0418,0.0016,0.0012
ideg_0,60,20,28
e_0,0.090,0.10,0.063
omegadeg_0,-25,69,57
teq_0,1590,190,120
tcirc_0,0.167,0.16,0.064
k_0,107.8,8.3,7.7
logk_0,2.033,0.032,0.032
p_0,0.105,0.020,0.025
ar_0,7.6,1.2,1.5
delta_0,0.0111,0.0047,0.0046
depth_0,0.00,0.00,0.00
tau_0,0.00,0.00,0.00
t14_0,0.00,0.00,0.00
tfwhm_0,0.00,0.00,0.00
b_0,3.6,2.7,2.5
cosi_0,0.49,0.35,0.33
bs_0,3.4,2.5,2.3
taus_0,0.000,0.010,0.00
t14s_0,0.000,0.025,0.00
tfwhms_0,0.000,0.013,0.00
eclipsedepth36_0,860,190,200
eclipsedepth45_0,1140,280,300
rhop_0,0.68,0.47,0.19
logp_0,0.475527,0.000098,0.000093
loggp_0,3.21,0.21,0.11
safronov_0,0.060,0.035,0.010
fave_0,1.43,0.84,0.37
tp_0,2456189.31,0.59,0.47
ts_0,2456191.828,0.087,0.067
ta_0,2456189.513,0.070,0.087
td_0,2456191.051,0.083,0.060
ecosw_0,0.052,0.10,0.059
esinw_0,-0.019,0.050,0.086
secosw_0,0.19,0.17,0.24
sesinw_0,-0.08,0.22,0.19
msini_0,0.805,0.089,0.077
q_0,0.00082,0.00046,0.00012
dr_0,7.7,1.3,1.6
pt_0,0.116,0.034,0.019
ptg_0,0.143,0.034,0.019
ps_0,0.124,0.038,0.022
psg_0,0.153,0.038,0.023
gamma_0,316,32,30
jitter_0,71,45,26
jittervar_0,5100,8400,3000
gamma_1,-90,23,17
jitter_1,18,76,18
jittervar_1,340,8600,540
gamma_2,13.9,6.5,6.3
jitter_2,24.9,6.5,4.6
jittervar_2,620,370,210
gamma_3,-12,17,17
jitter_3,58,17,12
jittervar_3,3400,2300,1300
