#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	MAIRMASS
2457171.661654	0.998775	0.000753	1.001798
2457171.662374	0.997705	0.000749	1.001611
2457171.663093	0.997799	0.000751	1.001440
2457171.663820	0.996932	0.000747	1.001281
2457171.664539	0.996187	0.000747	1.001140
2457171.665381	0.998057	0.000749	1.000993
2457171.666100	0.997408	0.000745	1.000884
2457171.666818	0.995189	0.000747	1.000790
2457171.667538	0.996329	0.000747	1.000711
2457171.668256	0.996378	0.000749	1.000647
2457171.668974	0.997123	0.000751	1.000597
2457171.669694	0.997725	0.000755	1.000563
2457171.670414	0.996689	0.000747	1.000543
2457171.671133	0.999606	0.000749	1.000538
2457171.671852	0.998818	0.000753	1.000548
2457171.672571	0.997589	0.000755	1.000573
2457171.673290	0.998613	0.000757	1.000613
2457171.674008	0.997978	0.000763	1.000667
2457171.674727	0.998145	0.000761	1.000737
2457171.675446	0.997583	0.000765	1.000821
2457171.676165	0.996683	0.000749	1.000921
2457171.676884	0.996221	0.000753	1.001035
2457171.677602	0.996773	0.000757	1.001164
2457171.678321	0.998401	0.000753	1.001308
2457171.679068	0.995761	0.000759	1.001474
2457171.679797	0.996410	0.000763	1.001651
2457171.680516	0.996467	0.000757	1.001840
2457171.681235	0.997491	0.000761	1.002045
2457171.681954	0.999246	0.000753	1.002265
2457171.682673	0.996360	0.000755	1.002499
2457171.683392	1.001346	0.000761	1.002749
2457171.684112	0.997949	0.000761	1.003014
2457171.684831	0.997705	0.000757	1.003294
2457171.685549	0.998118	0.000763	1.003588
2457171.686268	0.996510	0.000753	1.003898
2457171.686987	0.997459	0.000761	1.004223
2457171.687705	0.998220	0.000759	1.004563
2457171.688497	0.999408	0.000765	1.004955
2457171.689217	0.997105	0.000767	1.005328
2457171.689936	0.999447	0.000761	1.005715
2457171.690661	0.999569	0.000763	1.006120
2457171.691380	1.002496	0.000771	1.006538
2457171.692099	0.999113	0.000761	1.006971
2457171.692817	1.000587	0.000771	1.007420
2457171.693539	1.000157	0.000771	1.007885
2457171.694257	1.001246	0.000771	1.008364
2457171.694977	1.000953	0.000773	1.008859
2457171.695696	1.000131	0.000773	1.009370
2457171.696415	1.001761	0.000777	1.009895
2457171.697164	0.999966	0.000777	1.010459
2457171.697921	1.003263	0.000790	1.011046
2457171.698640	1.001582	0.000800	1.011620
2457171.699360	1.002648	0.000800	1.012210
2457171.700089	1.002710	0.000792	1.012824
2457171.700808	1.000524	0.000786	1.013446
2457171.701527	1.001503	0.000779	1.014083
2457171.702281	1.003231	0.000782	1.014767
2457171.703001	1.002473	0.000780	1.015438
2457171.703719	1.002944	0.000802	1.016122
2457171.704438	0.998423	0.000810	1.016823
2457171.705157	1.001399	0.000832	1.017541
2457171.705882	1.001140	0.000839	1.018280
2457171.706601	1.001580	0.000824	1.019030
2457171.707320	1.003180	0.000822	1.019795
2457171.708039	1.001114	0.000806	1.020578
2457171.708758	1.000058	0.000794	1.021376
2457171.709477	1.002378	0.000792	1.022191
2457171.710196	1.004519	0.000786	1.023021
2457171.710915	1.001586	0.000782	1.023869
2457171.711639	1.000039	0.000802	1.024739
2457171.712358	1.000686	0.000871	1.025620
2457171.713077	0.999915	0.000959	1.026518
2457171.713797	0.999372	0.000971	1.027432
2457171.714516	1.003680	0.000959	1.028363
2457171.715954	1.003461	0.000883	1.030275
2457171.716673	1.002272	0.000898	1.031257
2457171.717392	1.003263	0.000875	1.032255
2457171.718146	1.002237	0.000790	1.033322
2457171.718873	1.003066	0.000777	1.034368
2457171.719592	1.002237	0.000779	1.035419
2457171.720312	1.003540	0.000780	1.036488
2457171.721030	1.001904	0.000779	1.037573
2457171.721749	1.002170	0.000784	1.038677
2457171.722470	1.005107	0.000800	1.039801
2457171.723189	0.999246	0.000810	1.040940
2457171.724627	1.001781	0.000891	1.043272
2457171.725346	1.002642	0.000857	1.044464
2457171.726065	1.000943	0.000887	1.045675
2457171.726784	1.002718	0.000849	1.046905
2457171.727503	1.003882	0.000893	1.048151
2457171.728222	0.999787	0.000794	1.049416
2457171.728941	1.002917	0.000775	1.050699
2457171.729660	1.001887	0.000780	1.052002
2457171.730379	1.003587	0.000780	1.053323
2457171.731099	1.001047	0.000777	1.054665
2457171.731818	1.004963	0.000780	1.056022
2457171.732537	1.000992	0.000784	1.057399
2457171.733255	1.001786	0.000775	1.058794
2457171.733975	1.000748	0.000779	1.060212
2457171.734694	1.002874	0.000779	1.061646
2457171.735482	1.001773	0.000784	1.063240
2457171.736201	1.000632	0.000782	1.064715
2457171.736926	1.003697	0.000777	1.066224
2457171.737647	1.002083	0.000780	1.067743
2457171.738366	1.001179	0.000790	1.069277
2457171.739086	0.999701	0.000777	1.070833
2457171.739805	1.001924	0.000779	1.072409
2457171.740524	1.002158	0.000780	1.074002
2457171.741244	1.002331	0.000786	1.075621
2457171.741963	1.000271	0.000777	1.077255
2457171.742682	1.000369	0.000786	1.078913
2457171.743401	1.001212	0.000784	1.080590
2457171.744120	1.001128	0.000808	1.082287
2457171.744839	1.000223	0.000810	1.084007
2457171.745559	1.002278	0.000812	1.085748
2457171.746278	1.001570	0.000845	1.087510
2457171.746997	0.998794	0.000806	1.089291
2457171.747779	0.999429	0.000812	1.091256
2457171.748498	1.003226	0.000822	1.093083
2457171.749217	1.000021	0.000830	1.094933
2457171.749936	0.999813	0.000824	1.096804
2457171.750659	1.000381	0.000814	1.098708
2457171.751378	1.003316	0.000808	1.100626
2457171.752097	1.001338	0.000810	1.102565
2457171.752816	1.000910	0.000800	1.104527
2457171.753535	1.002777	0.000800	1.106510
2457171.754255	1.000925	0.000814	1.108519
2457171.754982	0.996500	0.000832	1.110574
2457171.755703	0.999392	0.000826	1.112632
2457171.756423	0.999231	0.000830	1.114712
2457171.757141	0.997737	0.000853	1.116813
2457171.757859	1.001197	0.000800	1.118934
2457171.758580	0.999982	0.000794	1.121089
2457171.759300	1.003019	0.000779	1.123265
2457171.760019	1.001281	0.000784	1.125464
2457171.760739	0.999109	0.000780	1.127689
2457171.761458	0.999323	0.000777	1.129937
2457171.762177	1.000827	0.000767	1.132210
2457171.762897	0.999820	0.000765	1.134508
2457171.763615	1.000414	0.000765	1.136828
2457171.764464	0.999337	0.000765	1.139605
2457171.765184	1.001604	0.000765	1.141987
2457171.765903	1.003853	0.000763	1.144392
2457171.766623	1.000086	0.000767	1.146827
2457171.767342	1.001712	0.000769	1.149286
2457171.768061	1.001670	0.000769	1.151770
2457171.768780	1.002156	0.000767	1.154281
2457171.769499	1.002478	0.000763	1.156821
2457171.770218	0.999697	0.000773	1.159388
2457171.770938	1.001081	0.000765	1.161983
2457171.771656	1.001134	0.000765	1.164604
2457171.772376	0.999876	0.000773	1.167255
2457171.773094	1.003406	0.000775	1.169932
2457171.773814	1.000273	0.000769	1.172642
2457171.774543	0.998983	0.000780	1.175416
2457171.775261	1.000163	0.000773	1.178180
2457171.775981	0.999502	0.000769	1.180976
2457171.776700	0.999292	0.000784	1.183801
2457171.777419	0.999260	0.000771	1.186659
2457171.778139	0.999801	0.000769	1.189545
