#Mass          	Status    Reason                                            Runtime                  
			
00010          	FAILED    min_timestep_limit                                7:02:56                  
00015          	FAILED    need_more_time                                    exceeded_req_time        
00020          	FAILED    need_more_time                                    exceeded_req_time        
00025          	OK        central_H1_mass_fraction_below_1e-4               0:29:49                  
00030_PT       	OK        central_H1_mass_fraction_below_1e-4               0:43:32                  
00030_tau100   	OK        central_H1_mass_fraction_below_1e-4               1:02:32                  
00031_PT       	OK        central_H1_mass_fraction_below_1e-4               0:31:01                  
00031_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:29:45                  
00032_PT       	OK        central_H1_mass_fraction_below_1e-4               0:29:49                  
00032_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:37:44                  
00033_PT       	OK        central_H1_mass_fraction_below_1e-4               0:44:04                  
00033_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:44:10                  
00034_PT       	OK        central_H1_mass_fraction_below_1e-4               0:38:38                  
00034_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:32:02                  
00035_PT       	OK        central_H1_mass_fraction_below_1e-4               0:28:50                  
00035_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:52:24                  
00036_PT       	OK        central_H1_mass_fraction_below_1e-4               0:51:26                  
00036_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:59:45                  
00037_PT       	OK        central_H1_mass_fraction_below_1e-4               1:02:22                  
00037_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:40:34                  
00038_PT       	OK        central_H1_mass_fraction_below_1e-4               1:05:26                  
00038_tau100   	OK        central_H1_mass_fraction_below_1e-4               1:20:54                  
00039_PT       	OK        central_H1_mass_fraction_below_1e-4               2:38:17                  
00039_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:51:50                  
00040_PT       	OK        central_H1_mass_fraction_below_1e-4               0:33:26                  
00040_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:24:24                  
00045_PT       	OK        central_H1_mass_fraction_below_1e-4               0:51:10                  
00045_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:49:43                  
00050_PT       	OK        central_H1_mass_fraction_below_1e-4               0:30:18                  
00050_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:28:47                  
00055_PT       	OK        central_H1_mass_fraction_below_1e-4               0:27:32                  
00055_tau100   	OK        central_H1_mass_fraction_below_1e-4               0:25:21                  
00060          	FAILED    need_more_time                                    exceeded_req_time        
00065          	FAILED    min_timestep_limit                                38:56:46                 
00070          	FAILED    min_timestep_limit                                45:54:52                 
00075          	FAILED    min_timestep_limit                                58:06:16                 
00080          	FAILED    min_timestep_limit                                24:03:03                 
00085          	FAILED    min_timestep_limit                                62:31:46                 
00090          	FAILED    min_timestep_limit                                17:05:04                 
00092          	FAILED    min_timestep_limit                                20:54:56                 
00094          	FAILED    min_timestep_limit                                52:50:35                 
00096          	FAILED    min_timestep_limit                                20:43:01                 
00098          	FAILED    min_timestep_limit                                25:03:31                 
00100          	FAILED    min_timestep_limit                                24:08:33                 
00102          	FAILED    min_timestep_limit                                43:31:07                 
00104          	FAILED    min_timestep_limit                                68:15:13                 
00106          	FAILED    min_timestep_limit                                21:27:28                 
00108          	FAILED    need_more_time                                    exceeded_req_time        
00110          	FAILED    min_timestep_limit                                39:11:40                 
00112          	FAILED    min_timestep_limit                                32:33:49                 
00114          	FAILED    need_more_time                                    exceeded_req_time        
00116          	FAILED    min_timestep_limit                                28:30:36                 
00118          	FAILED    min_timestep_limit                                25:02:43                 
00120          	FAILED    min_timestep_limit                                17:16:43                 
00122          	FAILED    min_timestep_limit                                14:38:22                 
00124          	FAILED    min_timestep_limit                                15:55:17                 
00126          	FAILED    min_timestep_limit                                36:14:32                 
00128          	FAILED    min_timestep_limit                                15:46:31                 
00130          	FAILED    min_timestep_limit                                36:14:48                 
00132          	FAILED    min_timestep_limit                                26:25:48                 
00134          	FAILED    min_timestep_limit                                15:00:22                 
00136          	FAILED    min_timestep_limit                                19:03:25                 
00138          	FAILED    min_timestep_limit                                14:09:59                 
00140          	FAILED    min_timestep_limit                                14:24:06                 
00142          	FAILED    min_timestep_limit                                28:59:20                 
00144          	FAILED    min_timestep_limit                                14:58:31                 
00146          	FAILED    min_timestep_limit                                13:39:07                 
00148          	FAILED    min_timestep_limit                                10:17:30                 
00150          	FAILED    min_timestep_limit                                20:00:51                 
00152          	FAILED    min_timestep_limit                                19:02:23                 
00154          	FAILED    min_timestep_limit                                8:32:12                  
00156          	FAILED    min_timestep_limit                                11:04:44                 
00158          	FAILED    min_timestep_limit                                108:21:08                
00160          	FAILED    min_timestep_limit                                13:28:56                 
00162          	FAILED    min_timestep_limit                                38:24:01                 
00164          	FAILED    min_timestep_limit                                34:08:46                 
00166          	FAILED    min_timestep_limit                                8:12:45                  
00168          	FAILED    min_timestep_limit                                17:30:22                 
00170          	FAILED    min_timestep_limit                                77:43:42                 
00172          	FAILED    min_timestep_limit                                15:55:57                 
00174          	FAILED    min_timestep_limit                                14:50:16                 
00176          	FAILED    min_timestep_limit                                31:48:29                 
00178          	FAILED    min_timestep_limit                                9:52:40                  
00180          	FAILED    min_timestep_limit                                8:46:48                  
00182          	FAILED    min_timestep_limit                                14:20:54                 
00184          	FAILED    min_timestep_limit                                7:43:19                  
00186          	FAILED    need_more_time                                    exceeded_req_time        
00188          	FAILED    min_timestep_limit                                25:42:25                 
00190          	FAILED    min_timestep_limit                                10:04:49                 
00192          	FAILED    min_timestep_limit                                13:55:56                 
00194          	FAILED    min_timestep_limit                                42:43:00                 
00196          	FAILED    min_timestep_limit                                42:32:12                 
00198          	FAILED    min_timestep_limit                                15:18:44                 
00200          	FAILED    min_timestep_limit                                9:13:28                  
00202          	FAILED    min_timestep_limit                                8:09:08                  
00204          	FAILED    min_timestep_limit                                73:19:57                 
00206          	FAILED    min_timestep_limit                                58:08:11                 
00208          	FAILED    min_timestep_limit                                11:17:17                 
00210          	FAILED    min_timestep_limit                                9:25:22                  
00212          	FAILED    min_timestep_limit                                8:16:14                  
00214          	FAILED    min_timestep_limit                                9:21:59                  
00216          	FAILED    min_timestep_limit                                8:32:19                  
00218          	FAILED    min_timestep_limit                                17:01:23                 
00220          	FAILED    min_timestep_limit                                22:42:16                 
00222          	FAILED    min_timestep_limit                                5:28:20                  
00224          	FAILED    need_more_time                                    exceeded_req_time        
00226          	FAILED    min_timestep_limit                                5:02:19                  
00228          	FAILED    min_timestep_limit                                10:10:16                 
00230          	FAILED    need_more_time                                    exceeded_req_time        
00232          	OK        gamma_center_limit                                11:33:36                 
00234          	FAILED    need_more_time                                    exceeded_req_time        
00236          	OK        gamma_center_limit                                98:46:53                 
00238          	FAILED    need_more_time                                    exceeded_req_time        
00240          	FAILED    need_more_time                                    exceeded_req_time        
00242          	OK        gamma_center_limit                                14:23:08                 
00244          	FAILED    need_more_time                                    exceeded_req_time        
00246          	FAILED    need_more_time                                    exceeded_req_time        
