# Keivan's filter names, MIST filter names, Claret Filter names, svo filter names
H2M 2MASS_H H 2MASS_2MASS.H
J2M 2MASS_J J 2MASS_2MASS.J
K2M 2MASS_Ks K 2MASS_2MASS.Ks
Unsupported ACS_HRC_F220W Unsupported HST_ACS_HRC.F220W
Unsupported ACS_HRC_F250W Unsupported HST_ACS_HRC.F250W
Unsupported ACS_HRC_F330W Unsupported HST_ACS_HRC.F330W
Unsupported ACS_HRC_F344N Unsupported HST_ACS_HRC.F344N
Unsupported ACS_HRC_F435W Unsupported HST_ACS_HRC.F435W
Unsupported ACS_HRC_F475W Unsupported HST_ACS_HRC.F475W
Unsupported ACS_HRC_F502N Unsupported HST_ACS_HRC.F502N
Unsupported ACS_HRC_F550M Unsupported HST_ACS_HRC.F550M
Unsupported ACS_HRC_F555W Unsupported HST_ACS_HRC.F555W
Unsupported ACS_HRC_F606W Unsupported HST_ACS_HRC.F606W
Unsupported ACS_HRC_F625W Unsupported HST_ACS_HRC.F625W
Unsupported ACS_HRC_F658N Unsupported HST_ACS_HRC.F658N
Unsupported ACS_HRC_F660N Unsupported HST_ACS_HRC.F660N
Unsupported ACS_HRC_F775W Unsupported HST_ACS_HRC.F775W
Unsupported ACS_HRC_F814W Unsupported HST_ACS_HRC.F814W
Unsupported ACS_HRC_F850LP Unsupported HST_ACS_HRC.F850LP
Unsupported ACS_HRC_F892N Unsupported  Unsupported
Unsupported ACS_WFC_F435W Unsupported Unsupported
Unsupported ACS_WFC_F475W Unsupported Unsupported
Unsupported ACS_WFC_F502N Unsupported Unsupported
Unsupported ACS_WFC_F550M Unsupported Unsupported
Unsupported ACS_WFC_F555W Unsupported Unsupported
Unsupported ACS_WFC_F606W Unsupported Unsupported
Unsupported ACS_WFC_F625W Unsupported Unsupported
Unsupported ACS_WFC_F658N Unsupported Unsupported
Unsupported ACS_WFC_F660N Unsupported Unsupported
Unsupported ACS_WFC_F775W Unsupported Unsupported
Unsupported ACS_WFC_F814W Unsupported Unsupported
Unsupported ACS_WFC_F850LP Unsupported Unsupported
Unsupported ACS_WFC_F892N Unsupported Unsupported
B Bessell_B B Misc_APASS.B
I Bessell_I I Generic_Cousins.I
R Bessell_R R Unsupported
U Bessell_U U Unsupported
V Bessell_V V Misc_APASS.V
Unsupported CFHT_g Unsupported Unsupported
Unsupported CFHT_i_new Unsupported Unsupported
Unsupported CFHT_i_old Unsupported Unsupported
Unsupported CFHT_r Unsupported Unsupported
Unsupported CFHT_u Unsupported Unsupported
Unsupported CFHT_z Unsupported Unsupported
Unsupported DDO51_f31 Unsupported Unsupported
Unsupported DDO51_vac Unsupported Unsupported
Unsupported DECam_Y Unsupported Unsupported
Unsupported DECam_g Unsupported Unsupported
Unsupported DECam_i Unsupported Unsupported
Unsupported DECam_r Unsupported Unsupported
Unsupported DECam_u Unsupported Unsupported
Unsupported DECam_z Unsupported Unsupported
Unsupported F070W Unsupported Unsupported
Unsupported F090W Unsupported Unsupported
Unsupported F115W Unsupported Unsupported
Unsupported F140M Unsupported Unsupported
Unsupported F150W Unsupported Unsupported
Unsupported F150W2 Unsupported Unsupported
Unsupported F162M Unsupported Unsupported
Unsupported F164N Unsupported Unsupported
Unsupported F182M Unsupported Unsupported
Unsupported F184 Unsupported Unsupported
Unsupported F187N Unsupported Unsupported
Unsupported F200W Unsupported Unsupported
Unsupported F210M Unsupported Unsupported
Unsupported F212N Unsupported Unsupported
Unsupported F250M Unsupported Unsupported
Unsupported F277W Unsupported Unsupported
Unsupported F300M Unsupported Unsupported
Unsupported F322W2 Unsupported Unsupported
Unsupported F323N Unsupported Unsupported
Unsupported F335M Unsupported Unsupported
Unsupported F356W Unsupported Unsupported
Unsupported F360M Unsupported Unsupported
Unsupported F405N Unsupported Unsupported
Unsupported F410M Unsupported Unsupported
Unsupported F430M Unsupported Unsupported
Unsupported F444W Unsupported Unsupported
Unsupported F460M Unsupported Unsupported
Unsupported F466N Unsupported Unsupported
Unsupported F470N Unsupported Unsupported
Unsupported F480M Unsupported Unsupported
galFUV GALEX_FUV Unsupported Unsupported
galNUV GALEX_NUV Unsupported Unsupported
GaiaBP Gaia_BP_DR2Rev Unsupported GAIA_GAIA2r.Gbp
