-1, 0, 0, 0, 1, 1, 1, 2
-2, 0, 1, 2, 0, 1, 2, 0
 6.0, -27.85,  -7.78,  27.47,  -32.1,   14.4,    9.5,    -67
10.8, -28.91,  -3.57,  22.92,    7.7,   12.6,    1.6,   -572
11.2, -26.72,  -8.74,   9.36,  -30.3,    5.6,   17.2,  -1104
11.8, -29.04,  -9.69,  13.63,  -49.4,   36.3,   17.7,  -1129
12.2, -12.39,  -2.16,  10.23,  -92.6,   19.8,   27.6,   -365
12.9, -18.99,  -1.93,  15.90,  -57.2,   -8.0,   19.9,   -554
13.1, -38.29,   2.59,  16.20,  -10.5,    1.4,    0.4,   -960
15.9, -36.83,   4.20,  15.76,   22.3,   11.1,   10.0,  -1367
16.1, -28.37,   1.99,   9.28,   50.4,   17.2,   13.7,  -1351
17.5, -24.68,  -1.37,   3.52,   86.8,   19.8,   21.3,  -1380
19.0, -15.32,   4.01,  -6.03,   29.2,   14.1,    0.4,   -563
20.0, -13.73, -10.92,  -8.30,  -74.4,  196.4,  -42.0,    536
21.0, -29.53, -20.34, -18.74,  -39.5,  326.8, -262.3,   1598
